taxon_key	taxon_name	common_name	cla_code	ord_code	fam_code	gen_code	spe_code	effective_distance	habitat_diversity_index	estuaries	coral	front	sea_grass	sea_mount	others	slope	shelf	abyssal	inshore	offshore	max_depth	min_depth	true_max_depth	water_column_position	intertidal	lat_north	lat_south	found_in_fao_area_id	fao_limits	sl_max	temperature	general_comments
603999	Sebastes rufus	Bank rockfish	6	59	573	2902	3999	29.23628517	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0.5	247	31		demersal		46	40	{77}	1	46.106712		"Amy's comments: midwater, found over high relief (). NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments. FB or SLB Comments: Adults demersal and semi-pelagic (Ref. 36715), in offshore areas (Ref. 2850). Juveniles are pelagic (Ref. 36715). Viviparous, with planktonic larvae (Ref. 36715)."
659494	Stellifer brasiliensis		6	60	331	3811	59494	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0				demersal				"{41,41}"	2	11.455		"Amy's comments: Found in tropical estuary, over shallow muddy or san-mud bottoms of estuaries and sandâ€“mud bottoms of estuaries and adjacent coastal waters (Eschmeyer 2006). and occasionally in mangrove tidal creeks (Ramos et al. 2011). (Dantas, D. V., Barletta, M., & Da Costa, M. F. (2012). The seasonal and spatial patterns of ingestion of polyfilament nylon fragments by estuarine drums (Sciaenidae). Environmental Science and Pollution Research, 19(2), 600-606.). Also found . NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments. FB or SLB Comments:"
603337	Paralabrax nebulifer	Barred sand bass	6	60	289	5586	3337	30.39999991	0.4	0.75	0	0	0	0	0.75	0	0.5	0.5	0.5	0.5	183			reef-associated	f	34	17	{77}	1	53.92397524		"Amy's comments: Found inshore (Anderson, T. W., DeMartini, E. E., & Roberts, D. A. (1989). The relationship between habitat structure, body size and distribution of fishes at a temperate artificial reef. Bulletin of Marine Science, 44(2), 681-697.). NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments. FB or SLB Comments: Usually found on sand bottom among or near rocks from shallow areas to about 183 m depth, but usually at less than 30 m. Juvenile feed on benthic invertebrates (crabs, bivalves and mysids) and rarely fish; adults prey on fishes (especially <i>Porichthys notatus</i>) and also on crustaceans (Ref. 9342). Pelagic spawners (Ref. 56049). Important game fish (Ref. 9342)."
603068	Opsanus pardus	Leopard toadfish	6	46	189	1420	3068	59.543476	0.6	0.5	0.75	0	0	0	0.5	0	0.5	0	0.5	0.5				reef-associated	f			{31}	1	32.718		"Amy's comments: found inshore (Grimes, C. B., Manooch, C. S., & Huntsman, G. R. (1982). Reef and rock outcropping fishes of the outer continental shelf of North Carolina and South Carolina, and ecological notes on the red porgy and vermilion snapper. Bulletin of Marine Science, 32(1), 277-289.). NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments. FB or SLB Comments: Inhabits offshore water on deeper rocky reefs."
605345	Sargocentron melanospilos	Blackblotch squirrelfish	6	53	243	10547	5345	30.39999991	0.4	0	0.25	0	0	0	0.25	0	0.25	0	0.25	0	90	5		reef-associated	f	30	-24	"{51,61,71,77}"	4	22		"Amy's comments: Found inshore in Indo (Allen, G. R., & Erdmann, M. V. (2009). Reef fishes of the birdâ€™s head peninsula, West Papua, Indonesia. Check List, 5(3), 587-628.). NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments."
604276	Balistes polylepis	Finescale triggerfish	6	62	445	4755	4276	69.99999979	0.6	0.5	0.75	0	0	0	0.5	0.5	0.5	0	0.5	0.5	60	10		reef-associated	f			"{67,77,87}"	3	59.64556		"Amy's comments: Found inshore on rocky reef around an island, in the Gulf of California and thus shelf waters (Strand, S. (1988). Following behavior: interspecific foraging associations among Gulf of California reef fishes. Copeia, 351-357.). NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments. FB or SLB Comments: Occurs in rocky reefs, boulder strewn slopes and adjacent areas of sand. Adults demersal; young pelagic (Ref. 2850). Feeds on sea urchins, small crustaceans and mollusks (Ref. 5227)."
603354	Rypticus maculatus	Whitespotted soapfish	6	60	289	816	3354	73.33333326	0.6	0.5	0.5	0	0	0	0.5	0	0.5	0	0.5	0	91			demersal	f	41	24	"{21,31}"	2	0		FB or SLB Comments:
601245	Prionotus punctatus	Bluewing searobin	6	59	266	3789	1245	59.48361861	0.6	0.5	0.25	0	0	0	0.5	0	0.5	0	0.5	0.5	190			demersal	f			"{31,41}"	2	32.64000522		"Amy's comments: Found near estuaries (Jaureguizar, A. J., Waessle, J. A., & Guerrero, R. A. (2007). Spatio-temporal distribution of Atlantic searobins (Prionotus spp.) in relation to estuarine dynamics (Rio de la Plata, Southwestern Atlantic Coastal System). Estuarine, Coastal and Shelf Science, 73(1), 30-42.). NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments. FB or SLB Comments: Found on sand or muddy bottoms of the continental and insular shelves. Occasionally occurs over reefs. Feeds on shrimps, crabs, other crustaceans and fishes. Traded as an aquarium fish at CearÃ¡, Brazil (Ref. 49392)."
602566	Raja rhina	Longnose skate	4	14	19	1309	2566	60.39999982	0.4	0.75	0	0	0	0	0.75	0.75	0.75	0	0.5	0.5	1069	9		bathydemersal		61	22	"{61,67,77}"	3	180		"Amy's comments: Found nearshore to depths of 1000m, found on shelf and upper slope. One of the most common elasmobranchs caught (Robinson, H. J., Cailliet, G. M., & Ebert, D. A. (2007). Food habits of the longnose skate, Raja rhina (Jordan and Gilbert, 1880), in central California waters. Environmental Biology of Fishes, 80(2-3), 165-179.). NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments. FB or SLB Comments: Found partially or completely buried on sand and silty bottoms (Ref. 27436). Oviparous. Distinct pairing with embrace. Young may tend to follow large objects, such as their mother (Ref. 205). Eggs are oblong capsules with stiff pointed horns at the corners deposited in sandy or muddy flats (Ref. 205). Egg capsules are 9.4-13.0 cm long and 5.7-7.7 cm wide (Ref. 41249, 41300, 41357)."
601513	Sardinella melanura	Blacktip sardinella	6	28	43	3475	1513	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0	9999	0		pelagic-neritic		26	-23	"{51,57,61,71,77}"	5	15.2		"FB or SLB Comments: Form schools in coastal waters (Ref. 188, 75154). Regarded a robust and very good bait in the tuna fishery."
